"numero_docx","produto_docx","acao","id_produto","score","link_aplicado","observacao"
"001","Samsung Galaxy A15 5G 128 GB","adicionado-novo","celular-ml-docx-001","","https://meli.la/2tpesJM",""
"002","Samsung Galaxy A06 128 GB","adicionado-novo","celular-ml-docx-002","","https://meli.la/2Qr3XY5",""
"003","Samsung Galaxy A06 5G 128 GB","adicionado-novo","celular-ml-docx-003","","https://meli.la/1ZiD8eD",""
"004","Samsung Galaxy A07 128 GB","atualizado","telefone-mercado-livre-005","0.50","https://meli.la/1sW6ohs",""
"005","Samsung Galaxy A17","adicionado-novo","celular-ml-docx-005","","https://meli.la/1AUFAxo",""
"006","Samsung Galaxy A36 5G 256 GB","adicionado-novo","celular-ml-docx-006","","https://meli.la/2WJc8Wj",""
"007","Samsung Galaxy A56 5G","ja-estava-igual","telefone-mercado-livre-001","1.00","https://meli.la/2vjQGTa",""
"008","Samsung Galaxy A55 5G 256 GB","adicionado-novo","celular-ml-docx-008","","https://meli.la/2f5pDk6",""
"009","Samsung Galaxy A35","adicionado-novo","celular-ml-docx-009","","https://meli.la/12PKASV",""
"010","Samsung Galaxy A25 5G","adicionado-novo","celular-ml-docx-010","","https://meli.la/2Vc7hum",""
"011","Samsung Galaxy A16","atualizado","telefone-mercado-livre-006","0.75","https://meli.la/2oifgjy",""
"012","Samsung Galaxy A16 5G","adicionado-novo","celular-ml-docx-012","","https://meli.la/2f5pDk6",""
"013","Samsung Galaxy A05s","adicionado-novo","celular-ml-docx-013","","https://meli.la/2GtVe2L",""
"014","Samsung Galaxy A05","adicionado-novo","celular-ml-docx-014","","https://meli.la/2D1bVFF",""
"015","Samsung Galaxy A03","adicionado-novo","celular-ml-docx-015","","https://meli.la/1wsTVyx",""
"016","Samsung Galaxy S21 FE 5G","adicionado-novo","celular-ml-docx-016","","https://meli.la/1beqAff",""
"017","Samsung Galaxy S23 FE","adicionado-novo","celular-ml-docx-017","","https://meli.la/1KJA6kB",""
"018","Samsung Galaxy S24 FE","adicionado-novo","celular-ml-docx-018","","https://meli.la/14A5mNi",""
"021","Samsung Galaxy S25+","adicionado-novo","celular-ml-docx-021","","https://meli.la/29aDs96",""
"022","Samsung Galaxy S25 Ultra","adicionado-novo","celular-ml-docx-022","","https://meli.la/28rQ3hS",""
"023","Motorola Moto G35 5G","atualizado","telefone-mercado-livre-008","1.00","https://meli.la/1xcogaX",""
"024","Motorola Moto G15 256 GB","atualizado","telefone-mercado-livre-004","0.85","https://meli.la/1VsKupR",""
"025","Motorola Moto G06","adicionado-novo","celular-ml-docx-025","","https://meli.la/1eYf7iS",""
"026","Motorola Moto G05","adicionado-novo","celular-ml-docx-026","","https://meli.la/1LyR9KK",""
"027","Motorola Moto G05 SE","adicionado-novo","celular-ml-docx-027","","https://meli.la/1LyR9KK",""
"028","Motorola Moto G34 5G","adicionado-novo","celular-ml-docx-028","","https://meli.la/1cP69XE",""
"029","Motorola Moto G54 5G","adicionado-novo","celular-ml-docx-029","","https://meli.la/2vVuu3c",""
"030","Motorola Moto G24","adicionado-novo","celular-ml-docx-030","","https://meli.la/229bbr7",""
"031","Motorola Moto G24 Power","adicionado-novo","celular-ml-docx-031","","https://lista.mercadolivre.com.br/motorola-moto-g24-power",""
"032","Motorola Moto G04s","sem-link","","","","Nenhum link aproveitavel no bloco do Word"
"033","Motorola Moto G84 5G","sem-link","","","","Nenhum link aproveitavel no bloco do Word"
"034","Motorola Moto G85 5G","adicionado-novo","celular-ml-docx-034","","https://meli.la/34bojpa",""
"035","Motorola Edge 40 Neo","adicionado-novo","celular-ml-docx-035","","https://meli.la/2WswndQ",""
