platform	id	title	productUrl	affiliateLink	image	rating	reviewCount	sold	commissionRate	priceText	purchaseSignal
amazon	B09S3ZJXSB	Kit Elástico Para Treino Exercícios Malhar Musculação Academia em Casa Premium Rubber Fit	https://www.amazon.com.br/dp/B09S3ZJXSB	https://www.amazon.com.br/dp/B09S3ZJXSB?tag=910556142-20	https://m.media-amazon.com/images/I/61HDGfJVfpL._AC_UL320_.jpg	4.6	498		8	R$ 113,05	Mais de 200 compras no mês passado
amazon	B0FNVLLQKT	Kit Haltere 6 em 1 Ajustável para Musculação - 15kg Preto - Multifuncional com Barra e Kettlebell	https://www.amazon.com.br/dp/B0FNVLLQKT	https://www.amazon.com.br/dp/B0FNVLLQKT?tag=910556142-20	https://m.media-amazon.com/images/I/61ISeRgb21L._AC_UL320_.jpg	4.6	310		8	R$ 225,89	Mais de 900 compras no mês passado
amazon	B09NRZ2SKS	Kit de musculação Laizen 40kg Anilhas + 2 Barras 40 + Barra 150 + Barra W	https://www.amazon.com.br/dp/B09NRZ2SKS	https://www.amazon.com.br/dp/B09NRZ2SKS?tag=910556142-20	https://m.media-amazon.com/images/I/61PicVFg11L._AC_UL320_.jpg	4.7	116		8	R$ 660,39	
amazon	B07W6NHZXW	SONGMICS Halteres de ferro fundido, placas de peso, ajustáveis para homens e mulheres, treino, treinamento físico, levantamento de peso, academia em casa	https://www.amazon.com.br/dp/B07W6NHZXW	https://www.amazon.com.br/dp/B07W6NHZXW?tag=910556142-20	https://m.media-amazon.com/images/I/81MK48rLgFL._AC_UL320_.jpg	4.6	970		8	R$ 575,69	
amazon	B0DQ1V649T	Kit Halteres Ajustáveis 6 em 1 com Barra Central 30kg – Para Treino em Casa ou Academia – Anilhas Revestidas, Peso Modular e Pegada Antiderrapante	https://www.amazon.com.br/dp/B0DQ1V649T	https://www.amazon.com.br/dp/B0DQ1V649T?tag=910556142-20	https://m.media-amazon.com/images/I/61JtMMI-8dL._AC_UL320_.jpg	4.5	79		8	R$ 399,90	Mais de 50 compras no mês passado
amazon	B0F5STGZ1R	Kit Halteres 15kg MK Fit Ajustáveis Anilhas E Barras Musculação Treino Completo Em Casa Ou Academia	https://www.amazon.com.br/dp/B0F5STGZ1R	https://www.amazon.com.br/dp/B0F5STGZ1R?tag=910556142-20	https://m.media-amazon.com/images/I/513S5r+TE4L._AC_UL320_.jpg	4.6	93		8	R$ 217,45	Mais de 100 compras no mês passado
amazon	B0C6N2K22N	Munhequeira crossfit elástica profissional musculação academia	https://www.amazon.com.br/dp/B0C6N2K22N	https://www.amazon.com.br/dp/B0C6N2K22N?tag=910556142-20	https://m.media-amazon.com/images/I/61tseiftrHL._AC_UL320_.jpg	4.5	65		8	R$ 39,90	
amazon	B0FFHKZ7XT	HALTER 4KG EMBORRACHADO BOLA PRETO RMG8 FIT	https://www.amazon.com.br/dp/B0FFHKZ7XT	https://www.amazon.com.br/dp/B0FFHKZ7XT?tag=910556142-20	https://m.media-amazon.com/images/I/417IEllnRiL._AC_UL320_.jpg	4.6	59		8	R$ 49,90	Mais de 50 compras no mês passado
amazon	B0BX471W88	Corda de Puxar Para Tríceps Crossit 70cm Com Duas Cabeças Antiaderente Fácil de Usar	https://www.amazon.com.br/dp/B0BX471W88	https://www.amazon.com.br/dp/B0BX471W88?tag=910556142-20	https://m.media-amazon.com/images/I/51bHOTMVytL._AC_UL320_.jpg	4.8	103		8	R$ 39,90	Mais de 100 compras no mês passado
amazon	B0DDRLZSQG	Caneleira 8kg Peso Musculação Kit Funcional Completo O Par - Tornozeleira Academia, Caneleira Academia, Caneleira Musculação, Treino Pernas	https://www.amazon.com.br/dp/B0DDRLZSQG	https://www.amazon.com.br/dp/B0DDRLZSQG?tag=910556142-20	https://m.media-amazon.com/images/I/61Nf-4JyesL._AC_UL320_.jpg	4.7	53		8	R$ 78,90	Mais de 50 compras no mês passado
