platform	external_id	title	price	rating	review_count	sold	commission_rate	source_url	affiliate_link	image_url	purchase_signal	selected_order
amazon	B07JQ9G1BD	Bosch Furadeira de Impacto GSB 550 RE 550W 127V com 3 Brocas	R$ 349,90	5	78		8	https://www.amazon.com.br/dp/B07JQ9G1BD	https://www.amazon.com.br/dp/B07JQ9G1BD?tag=910556142-20	https://m.media-amazon.com/images/I/51Osw4leHFL._AC_UL320_.jpg		1
amazon	B0CFYM9L5W	DEWALT Dcs334B 20V Serra De Vaivém Sem Fio Sem Escova (Somente Ferramenta)	R$ 1.427,17	5	54		8	https://www.amazon.com.br/dp/B0CFYM9L5W	https://www.amazon.com.br/dp/B0CFYM9L5W?tag=910556142-20	https://m.media-amazon.com/images/I/61w9llKezpL._AC_UL320_.jpg		2
amazon	B00R0Z7TFM	Bosch Trena Laser GLM 40 alcance 40m com bolsa protetora	R$ 284,04	4.9	11800		8	https://www.amazon.com.br/dp/B00R0Z7TFM	https://www.amazon.com.br/dp/B00R0Z7TFM?tag=910556142-20	https://m.media-amazon.com/images/I/819viI-zgOL._AC_UL320_.jpg	Mais de 700 compras no mês passado	3
amazon	B076KRB8LP	Bosch Martelete Perfurador GBH 2-24 D 820W 220V com maleta	R$ 809,99	4.9	1500		8	https://www.amazon.com.br/dp/B076KRB8LP	https://www.amazon.com.br/dp/B076KRB8LP?tag=910556142-20	https://m.media-amazon.com/images/I/61vrVTDDdzL._AC_UL320_.jpg	Mais de 600 compras no mês passado	4
amazon	B0C4Z6GF7J	Bosch Furadeira de Impacto GSB 13 RE-M - 750W 220V, em maleta	R$ 355,00	4.9	1300		8	https://www.amazon.com.br/dp/B0C4Z6GF7J	https://www.amazon.com.br/dp/B0C4Z6GF7J?tag=910556142-20	https://m.media-amazon.com/images/I/61FeVJ1UrUL._AC_UL320_.jpg	Mais de 700 compras no mês passado	5
amazon	B0C51C4ZTZ	Bosch Furadeira de Impacto GSB 13 RE-M - 750W 127V, em maleta	R$ 398,90	4.9	1200		8	https://www.amazon.com.br/dp/B0C51C4ZTZ	https://www.amazon.com.br/dp/B0C51C4ZTZ?tag=910556142-20	https://m.media-amazon.com/images/I/61zfwVifj8L._AC_UL320_.jpg	Mais de 400 compras no mês passado	6
amazon	B0CK37YPSS	Klein Tools 55569 Bolsa de ferramentas com zíper de pé com mosquetões, fundo reforçado reforçado, resistente à água 1680d, vários tamanhos, pacote com 5	R$ 243,47	4.9	936		8	https://www.amazon.com.br/dp/B0CK37YPSS	https://www.amazon.com.br/dp/B0CK37YPSS?tag=910556142-20	https://m.media-amazon.com/images/I/51zUBarnWML._AC_UL320_.jpg	Mais de 50 compras no mês passado	7
amazon	B0BBWG45C4	Bosch Furadeira de Impacto GSB 16 RE 850W 127V, em maleta	R$ 566,25	4.9	569		8	https://www.amazon.com.br/dp/B0BBWG45C4	https://www.amazon.com.br/dp/B0BBWG45C4?tag=910556142-20	https://m.media-amazon.com/images/I/518jZPvNM9L._AC_UL320_.jpg	Mais de 100 compras no mês passado	8
amazon	B09TPLNBQ2	Klein Tools Kit De Ferramentas Multifuncional Para Cabo De Dados 80072	R$ 821,80	4.9	414		8	https://www.amazon.com.br/dp/B09TPLNBQ2	https://www.amazon.com.br/dp/B09TPLNBQ2?tag=910556142-20	https://m.media-amazon.com/images/I/61GvT59kWkL._AC_UL320_.jpg		9
amazon	B0877YWTK5	Bosch Kit Parafusadeira GSR 120-LI e Chave de Impacto GDR 120-LI, 12V com 2 baterias, 1 carregador e 1 maleta	R$ 872,99	4.9	257		8	https://www.amazon.com.br/dp/B0877YWTK5	https://www.amazon.com.br/dp/B0877YWTK5?tag=910556142-20	https://m.media-amazon.com/images/I/614u3RWZvJL._AC_UL320_.jpg	Mais de 50 compras no mês passado	10
amazon	B0B9YT2RQR	CRAFTSMAN V20 RP Serra tico-tico-tico sem fio, 3 configurações orbitais, até 3.200 SPM, velocidade variável sem chave, apenas ferramenta nua (CMCS650B)	R$ 1.200,35	4.9	155		8	https://www.amazon.com.br/dp/B0B9YT2RQR	https://www.amazon.com.br/dp/B0B9YT2RQR?tag=910556142-20	https://m.media-amazon.com/images/I/71oYNqCRTlL._AC_UL320_.jpg		11
amazon	B0CCQ95FXS	Bosch Serra tico tico GST 750 220V + 1 lâmina	R$ 417,00	4.9	119		8	https://www.amazon.com.br/dp/B0CCQ95FXS	https://www.amazon.com.br/dp/B0CCQ95FXS?tag=910556142-20	https://m.media-amazon.com/images/I/61KheHP0q2L._AC_UL320_.jpg	Mais de 50 compras no mês passado	12
