affiliateLink	image	priceText
https://meli.la/1mXuvjF	https://http2.mlstatic.com/D_NQ_NP_804045-MLA82725923688_032025-O.webp	R$ 39,90
https://meli.la/24PpgfM	https://http2.mlstatic.com/D_NQ_NP_782400-MLB113344613004_072026-O-bermuda-masculina-tactel-short-academia-treino-plus-size-g3.webp	R$ 28,90
https://meli.la/2EDv8bJ	https://http2.mlstatic.com/D_NQ_NP_824417-MLB111941488549_052026-O-kit3-short-futebol-bermuda-masculina-academia-treino-esporte.webp	R$ 69,90
https://meli.la/2bKYNCB	https://http2.mlstatic.com/D_NQ_NP_942843-MLB109872097147_032026-O-tnis-kappa-pulse-unissex-academia-caminhada.webp	R$ 123,28
https://meli.la/1jboAFg	https://http2.mlstatic.com/D_NQ_NP_713651-MLB111248297628_052026-O-kit-3-bermuda-masculina-tactel-com-elastano-academia-treino.webp	R$ 78,90
https://meli.la/2S7cTeE	https://http2.mlstatic.com/D_NQ_NP_842236-MLB97496343330_112025-O-tenis-feminino-olimp-vili-ace-academia-caminhada-treino-eva.webp	R$ 141,90
https://meli.la/1BrijAy	https://http2.mlstatic.com/D_NQ_NP_816904-MLA109785791909_032026-O.webp	R$ 54,60
https://meli.la/1E72Hu7	https://http2.mlstatic.com/D_NQ_NP_826384-MLB112695268590_062026-O-bicicleta-ergometrica-spinning-cardio-e-musculacao.webp	R$ 490,82
https://meli.la/25h7Hj7	https://http2.mlstatic.com/D_NQ_NP_617838-MLB87260387792_072025-O-luva-academia-musculacao-treino-max-grip-protetor-anti-calo.webp	R$ 19,11
https://meli.la/2XcmbZB	https://http2.mlstatic.com/D_NQ_NP_742961-MLA104241120722_012026-O.webp	R$ 38,77
https://meli.la/1xJkyoN	https://http2.mlstatic.com/D_NQ_NP_727613-MLB113308346080_072026-O-camiseta-masculina-furadinha-dryfit-poliamida-occ.webp	R$ 36,99
https://meli.la/1UWSsLP	https://http2.mlstatic.com/D_NQ_NP_720972-MLB101588520443_122025-O-bermuda-masculina-slim-fit-de-poliamida-esportiva-fitness.webp	R$ 38,01
