sequence,date,slot,videoNumber,title,sourceMarketplace,sourceUrl,sourceZip,videoEntry,videoSha256,catalogProductId,affiliateMarketplace,affiliateLink,storeLink,publicationStatus,caption,hashtags
"1","2026-07-31","1","2","Cortador De Unha Elétrico USB Aparador Adulto Crianças Clipper Automático","shopee","https://shopee.com.br/product/477428067/21065674994","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0002/Cortador De Unha Elétrico USB Aparador Adulto Crianças Clipper Automático.mp4","c35a764622a2eb49d979db1d2889e45dc45b6df3bece2aefd221db9336669e76","shopee-video-0002-aparador-unhas-eletrico-56264093125","shopee","https://s.shopee.com.br/8KoKG1kjvv","https://impacto360afiliado.com.br/produto/aparador-eletrico-2-em-1-para-unhas-recarregavel-por-usb/","pronto_para_preparar","Cortador De Unha Elétrico USB Aparador Adulto Crianças Clipper Automático

Confira detalhes, disponibilidade e condições atualizadas na Impacto360:
https://impacto360afiliado.com.br/produto/aparador-eletrico-2-em-1-para-unhas-recarregavel-por-usb/

Este conteúdo pode conter link de afiliado.","#Impacto360 #Achadinhos #Oferta #ComprasOnline"
"2","2026-07-31","2","3","mini modelo,De Aço Inoxidável Preto Pulverizador Conjunto Sanitário","shopee","https://shopee.com.br/product/971794612/16193823218","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0003/mini modelo,De Aço Inoxidável Preto Pulverizador Conjunto Sanitário.mp4","15990a12d5ca30a277a978b955e1cfba665d7221d329efcd3408883877d3a31f","shopee-video-0003-ducha-higienica-preta-58256884392","shopee","https://s.shopee.com.br/20uGjaegxA","https://impacto360afiliado.com.br/produto/ducha-higienica-preta-com-valvula-dupla-e-mangueira-inox/","pronto_para_preparar","mini modelo,De Aço Inoxidável Preto Pulverizador Conjunto Sanitário

Confira detalhes, disponibilidade e condições atualizadas na Impacto360:
https://impacto360afiliado.com.br/produto/ducha-higienica-preta-com-valvula-dupla-e-mangueira-inox/

Este conteúdo pode conter link de afiliado.","#Impacto360 #Achadinhos #Oferta #ComprasOnline"
"3","2026-07-31","3","4","Deck de Madeira com Base Plástica (Madeira de Pinus)","shopee","https://shopee.com.br/product/405548515/23516200440","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0004/Deck de Madeira com Base Plástica (Madeira de Pinus).mp4","44390ea646fc38e3792182eddebe454b7457a9b06da397b370367b383f44729d","shopee-video-0004-deck-madeira-pinus-23516200440","shopee","https://s.shopee.com.br/1Vy08nzE1H","https://impacto360afiliado.com.br/produto/deck-de-madeira-de-pinus-com-base-plastica/","pronto_para_preparar","Deck de Madeira com Base Plástica (Madeira de Pinus)

Confira detalhes, disponibilidade e condições atualizadas na Impacto360:
https://impacto360afiliado.com.br/produto/deck-de-madeira-de-pinus-com-base-plastica/

Este conteúdo pode conter link de afiliado.","#Impacto360 #Achadinhos #Oferta #ComprasOnline"
"4","2026-08-01","1","5","Robô Varredor 4 em 1 - Passa Pano  Aromatizador  Humidificador - Sua Casa SEmpre Limpa Sem Esforço","shopee","https://shopee.com.br/Robô-Varredor-4-em-1-Varre-Passa-Pano-Aromatizador-Humidificador-Sua-Casa-SEmpre-Limpa-Sem-Esforço-i.374719836.22795664207","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0005/Robô Varredor 4 em 1 - Passa Pano  Aromatizador  Humidificador - Sua Casa SEmpre Limpa Sem Esforço.mp4","5fb8ecd5d61a6b55f19275070b86a9a5e5cc0960dbabc1aaa9f096dc44141b6a","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"5","2026-08-01","2","7","Descascador De Olho Abacaxi Morango Juller Removedor Cortador De Aço Inoxidável Prático Semente Remover Clipe De Frutas Vegetais Cenoura Tomate Pinças","shopee","https://shopee.com.br/product/252072876/15866673744","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0007/Descascador De Olho Abacaxi Morango Juller Removedor Cortador De Aço Inoxidável Prático Semente Remover Clipe De Frutas Vegetais Cenoura Tomate Pinças.mp4","82d6a510d2328f6422aeefa2f8057fa86f2b4474a2d53c32233a93589e6cc1e6","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"6","2026-08-01","3","8","Mini Teclado Portátil Dobrável Sem Fio Bluetooth Touchpad Para iPad Phone Tablet","shopee","https://shopee.com.br/product/567371549/11589018284","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0008/Mini Teclado Portátil Dobrável Sem Fio Bluetooth Touchpad Para iPad Phone Tablet.mp4","45ee5d9ed28f5a0ca0b3796dfca0eccb2a204331fed1aba9cff4b117e8f6ab82","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"7","2026-08-02","1","9","Folclórico Cola À Prova D_água Selante De Vazamento Agente De Reparo Adesivos Selador","shopee","https://shopee.com.br/Folclórico-Cola-À-Prova-D'água-Selante-De-Vazamento-Agente-De-Reparo-Adesivos-Selador-i.183971520.22409373542","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0009/Folclórico Cola À Prova D_água Selante De Vazamento Agente De Reparo Adesivos Selador.mp4","ff0f1539c3744ce0ee37cc4855ad8d92fe5ca6d1f7d94f2ce2e5ffa2c90708a6","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"8","2026-08-02","2","10","Película De Superfície Quadrada Portátil DIY Espelho Adesivo De Parede LongaAutocolante Decoração De Casa De Banho PET Transparente No","shopee","https://shopee.com.br/product/191439250/8022808248","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0010/Película De Superfície Quadrada Portátil DIY Espelho Adesivo De Parede LongaAutocolante Decoração De Casa De Banho PET Transparente No.mp4","593df5ecd767896ed20884ae4fcb6a52d28c597cb9853f994ea2bd1887f4dbbb","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"9","2026-08-02","3","11","100_ tailândia natural látex colchão importado de borracha natural puro colchão 1.8m cama 1.5m engrossado casa dormitório almofada esteira","outro","https://pt.aliexpress.com/item/1005003881626151.html","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0011/100_ tailândia natural látex colchão importado de borracha natural puro colchão 1.8m cama 1.5m engrossado casa dormitório almofada esteira.mp4","63f1cec1fe5758064ab5adb5ead87eff20be7b373b7f758efd14453131ebab6b","","","","","aguardando_revisao_visual_e_link_afiliado","",""
"10","2026-08-03","1","12","Limpador Multifuncional De Espuma De Carro Spray De Limpeza Para Todos Os Fins De Interiores Do Banco Forte Remoção De Manchas 100ML","shopee","https://shopee.com.br/product/713886665/19040459975?","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0012/Limpador Multifuncional De Espuma De Carro Spray De Limpeza Para Todos Os Fins De Interiores Do Banco Forte Remoção De Manchas 100ML.mp4","ffef792238ae5c2eb6f10ba39fa40e479cdd949848f397a92709b93ec30f494a","","","","","aguardando_revisao_visual_e_link_afiliado","",""
