"sourceZip","videoNumber","title","videoEntry","videoSha256","status","durationSeconds","width","height","resolution","orientation","fps","videoCodec","audioCodec","audioChannels","audioSampleRate","bitRate","bytes","error"
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","2","Cortador De Unha Elétrico USB Aparador Adulto Crianças Clipper Automático","VIDEOS 0 - 300/VIDEO 0002/Cortador De Unha Elétrico USB Aparador Adulto Crianças Clipper Automático.mp4","c35a764622a2eb49d979db1d2889e45dc45b6df3bece2aefd221db9336669e76","ok","16,253","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","1994343","4051758",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","3","mini modelo,De Aço Inoxidável Preto Pulverizador Conjunto Sanitário","VIDEOS 0 - 300/VIDEO 0003/mini modelo,De Aço Inoxidável Preto Pulverizador Conjunto Sanitário.mp4","15990a12d5ca30a277a978b955e1cfba665d7221d329efcd3408883877d3a31f","ok","25,796","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2888149","9312838",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","4","Deck de Madeira com Base Plástica (Madeira de Pinus)","VIDEOS 0 - 300/VIDEO 0004/Deck de Madeira com Base Plástica (Madeira de Pinus).mp4","44390ea646fc38e3792182eddebe454b7457a9b06da397b370367b383f44729d","ok","15,533","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2208026","4287159",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","5","Robô Varredor 4 em 1 - Passa Pano  Aromatizador  Humidificador - Sua Casa SEmpre Limpa Sem Esforço","VIDEOS 0 - 300/VIDEO 0005/Robô Varredor 4 em 1 - Passa Pano  Aromatizador  Humidificador - Sua Casa SEmpre Limpa Sem Esforço.mp4","5fb8ecd5d61a6b55f19275070b86a9a5e5cc0960dbabc1aaa9f096dc44141b6a","ok","22,569","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","734998","2073523",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","7","Descascador De Olho Abacaxi Morango Juller Removedor Cortador De Aço Inoxidável Prático Semente Remover Clipe De Frutas Vegetais Cenoura Tomate Pinças","VIDEOS 0 - 300/VIDEO 0007/Descascador De Olho Abacaxi Morango Juller Removedor Cortador De Aço Inoxidável Prático Semente Remover Clipe De Frutas Vegetais Cenoura Tomate Pinças.mp4","82d6a510d2328f6422aeefa2f8057fa86f2b4474a2d53c32233a93589e6cc1e6","ok","14,604","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2254207","4115055",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","8","Mini Teclado Portátil Dobrável Sem Fio Bluetooth Touchpad Para iPad Phone Tablet","VIDEOS 0 - 300/VIDEO 0008/Mini Teclado Portátil Dobrável Sem Fio Bluetooth Touchpad Para iPad Phone Tablet.mp4","45ee5d9ed28f5a0ca0b3796dfca0eccb2a204331fed1aba9cff4b117e8f6ab82","ok","9,101","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2455293","2793203",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","9","Folclórico Cola À Prova D_água Selante De Vazamento Agente De Reparo Adesivos Selador","VIDEOS 0 - 300/VIDEO 0009/Folclórico Cola À Prova D_água Selante De Vazamento Agente De Reparo Adesivos Selador.mp4","ff0f1539c3744ce0ee37cc4855ad8d92fe5ca6d1f7d94f2ce2e5ffa2c90708a6","ok","22,383","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","4583274","12823430",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","10","Película De Superfície Quadrada Portátil DIY Espelho Adesivo De Parede LongaAutocolante Decoração De Casa De Banho PET Transparente No","VIDEOS 0 - 300/VIDEO 0010/Película De Superfície Quadrada Portátil DIY Espelho Adesivo De Parede LongaAutocolante Decoração De Casa De Banho PET Transparente No.mp4","593df5ecd767896ed20884ae4fcb6a52d28c597cb9853f994ea2bd1887f4dbbb","ok","12,259","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","3021723","4630413",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","11","100_ tailândia natural látex colchão importado de borracha natural puro colchão 1.8m cama 1.5m engrossado casa dormitório almofada esteira","VIDEOS 0 - 300/VIDEO 0011/100_ tailândia natural látex colchão importado de borracha natural puro colchão 1.8m cama 1.5m engrossado casa dormitório almofada esteira.mp4","63f1cec1fe5758064ab5adb5ead87eff20be7b373b7f758efd14453131ebab6b","ok","30,092","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2689750","10117496",""
"VIDEOS 0 - 300-20260730T124444Z-1-001.zip","12","Limpador Multifuncional De Espuma De Carro Spray De Limpeza Para Todos Os Fins De Interiores Do Banco Forte Remoção De Manchas 100ML","VIDEOS 0 - 300/VIDEO 0012/Limpador Multifuncional De Espuma De Carro Spray De Limpeza Para Todos Os Fins De Interiores Do Banco Forte Remoção De Manchas 100ML.mp4","ffef792238ae5c2eb6f10ba39fa40e479cdd949848f397a92709b93ec30f494a","ok","10,518","1080","1920","1080x1920","vertical","30","h264","aac","2","44100","2629335","3456919",""
