"id","nome","categoria","preco","legendaWhatsApp","legendaInstagram","legendaFacebook","textoCatalogo","chamadaCompra","affiliateLink","imagemPrincipal","status"
"telefone-mercado-livre-001","Samsung Galaxy A55 5g Dual Sim 128 Gb Azul-escuro 8 Gb Ram","Celulares","R$ 2.599,00","Oferta selecionada no IMPACTO 360 AFILIADO

Samsung Galaxy A55 5g Dual Sim 128 Gb Azul-escuro 8 Gb Ram
R$ 2.599,00

Samsung Galaxy A55 5g Dual Sim 128 Gb Azul-escuro 8 Gb Ram é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 128 Gb, 8 Gb, 5g, Dual Sim, Ram.

Comprar no Mercado Livre:
https://meli.la/2vjQGTa

Este conteúdo pode conter link de afiliado.","Samsung Galaxy A55 5g Dual Sim 128 Gb Azul-escuro 8 Gb Ram

Samsung Galaxy A55 5g Dual Sim 128 Gb Azul-escuro 8 Gb Ram é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 128 Gb, 8 Gb, 5g, Dual Sim, Ram.

R$ 2.599,00

Confira os detalhes antes de comprar. Link de afiliado preservado no catálogo.

#Impacto360 #MercadoLivre #celulares #OfertasSelecionadas","Samsung Galaxy A55 5g Dual Sim 128 Gb Azul-escuro 8 Gb Ram

Samsung Galaxy A55 5g Dual Sim 128 Gb Azul-escuro 8 Gb Ram é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 128 Gb, 8 Gb, 5g, Dual Sim, Ram.

Preço: R$ 2.599,00

Acesse pelo link de afiliado da Impacto 360 Afiliado: https://meli.la/2vjQGTa","Samsung Galaxy A55 5g Dual Sim 128 Gb Azul-escuro 8 Gb Ram - Samsung Galaxy A55 5g Dual Sim 128 Gb Azul-escuro 8 Gb Ram é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 128 Gb, 8 Gb, 5g, Dual Sim, Ram.","Comprar no Mercado Livre","https://meli.la/2vjQGTa","public/produtos-impacto360/telefone-mercado-livre-001/imagem-01.webp","ativo"
"telefone-mercado-livre-002","iPhone 16e (256 Gb) - Branco - Distribuidor Autorizado","Celulares","R$ 6.599,00","Oferta selecionada no IMPACTO 360 AFILIADO

iPhone 16e (256 Gb) - Branco - Distribuidor Autorizado
R$ 6.599,00

iPhone 16e (256 Gb) - Branco - Distribuidor Autorizado é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256 Gb.

Comprar no Mercado Livre:
https://meli.la/1zuEk6q

Este conteúdo pode conter link de afiliado.","iPhone 16e (256 Gb) - Branco - Distribuidor Autorizado

iPhone 16e (256 Gb) - Branco - Distribuidor Autorizado é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256 Gb.

R$ 6.599,00

Confira os detalhes antes de comprar. Link de afiliado preservado no catálogo.

#Impacto360 #MercadoLivre #celulares #OfertasSelecionadas","iPhone 16e (256 Gb) - Branco - Distribuidor Autorizado

iPhone 16e (256 Gb) - Branco - Distribuidor Autorizado é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256 Gb.

Preço: R$ 6.599,00

Acesse pelo link de afiliado da Impacto 360 Afiliado: https://meli.la/1zuEk6q","iPhone 16e (256 Gb) - Branco - Distribuidor Autorizado - iPhone 16e (256 Gb) - Branco - Distribuidor Autorizado é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256 Gb.","Comprar no Mercado Livre","https://meli.la/1zuEk6q","public/produtos-impacto360/telefone-mercado-livre-002/imagem-01.webp","ativo"
"telefone-mercado-livre-003","Samsung Galaxy S25 FE 5G 128GB","Celulares","R$ 2.788,00","Oferta selecionada no IMPACTO 360 AFILIADO

Samsung Galaxy S25 FE 5G 128GB
R$ 2.788,00

Samsung Galaxy S25 FE 5G 128GB é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 128GB, 5G.

Comprar no Mercado Livre:
COLOCAR_LINK_AFILIADO_AQUI

Este conteúdo pode conter link de afiliado.","Samsung Galaxy S25 FE 5G 128GB

Samsung Galaxy S25 FE 5G 128GB é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 128GB, 5G.

R$ 2.788,00

Confira os detalhes antes de comprar. Link de afiliado preservado no catálogo.

#Impacto360 #MercadoLivre #celulares #OfertasSelecionadas","Samsung Galaxy S25 FE 5G 128GB

Samsung Galaxy S25 FE 5G 128GB é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 128GB, 5G.

Preço: R$ 2.788,00

Acesse pelo link de afiliado da Impacto 360 Afiliado: COLOCAR_LINK_AFILIADO_AQUI","Samsung Galaxy S25 FE 5G 128GB - Samsung Galaxy S25 FE 5G 128GB é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 128GB, 5G.","Comprar no Mercado Livre","COLOCAR_LINK_AFILIADO_AQUI","public/produtos-impacto360/telefone-mercado-livre-003/imagem-01.webp","pendente"
"telefone-mercado-livre-004","Motorola Moto G15 256GB","Celulares","R$ 759,00","Oferta selecionada no IMPACTO 360 AFILIADO

Motorola Moto G15 256GB
R$ 759,00

Motorola Moto G15 256GB é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB.

Comprar no Mercado Livre:
COLOCAR_LINK_AFILIADO_AQUI

Este conteúdo pode conter link de afiliado.","Motorola Moto G15 256GB

Motorola Moto G15 256GB é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB.

R$ 759,00

Confira os detalhes antes de comprar. Link de afiliado preservado no catálogo.

#Impacto360 #MercadoLivre #celulares #OfertasSelecionadas","Motorola Moto G15 256GB

Motorola Moto G15 256GB é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB.

Preço: R$ 759,00

Acesse pelo link de afiliado da Impacto 360 Afiliado: COLOCAR_LINK_AFILIADO_AQUI","Motorola Moto G15 256GB - Motorola Moto G15 256GB é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB.","Comprar no Mercado Livre","COLOCAR_LINK_AFILIADO_AQUI","public/produtos-impacto360/telefone-mercado-livre-004/imagem-01.webp","pendente"
"telefone-mercado-livre-005","Samsung Galaxy A07 256GB 8GB RAM","Celulares","R$ 665,00","Oferta selecionada no IMPACTO 360 AFILIADO

Samsung Galaxy A07 256GB 8GB RAM
R$ 665,00

Samsung Galaxy A07 256GB 8GB RAM é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB, 8GB, RAM.

Comprar no Mercado Livre:
COLOCAR_LINK_AFILIADO_AQUI

Este conteúdo pode conter link de afiliado.","Samsung Galaxy A07 256GB 8GB RAM

Samsung Galaxy A07 256GB 8GB RAM é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB, 8GB, RAM.

R$ 665,00

Confira os detalhes antes de comprar. Link de afiliado preservado no catálogo.

#Impacto360 #MercadoLivre #celulares #OfertasSelecionadas","Samsung Galaxy A07 256GB 8GB RAM

Samsung Galaxy A07 256GB 8GB RAM é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB, 8GB, RAM.

Preço: R$ 665,00

Acesse pelo link de afiliado da Impacto 360 Afiliado: COLOCAR_LINK_AFILIADO_AQUI","Samsung Galaxy A07 256GB 8GB RAM - Samsung Galaxy A07 256GB 8GB RAM é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB, 8GB, RAM.","Comprar no Mercado Livre","COLOCAR_LINK_AFILIADO_AQUI","public/produtos-impacto360/telefone-mercado-livre-005/imagem-01.webp","pendente"
"telefone-mercado-livre-006","Samsung Galaxy A16 5G 256GB 8GB RAM","Celulares","R$ 1.160,72","Oferta selecionada no IMPACTO 360 AFILIADO

Samsung Galaxy A16 5G 256GB 8GB RAM
R$ 1.160,72

Samsung Galaxy A16 5G 256GB 8GB RAM é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB, 8GB, 5G, RAM.

Comprar no Mercado Livre:
COLOCAR_LINK_AFILIADO_AQUI

Este conteúdo pode conter link de afiliado.","Samsung Galaxy A16 5G 256GB 8GB RAM

Samsung Galaxy A16 5G 256GB 8GB RAM é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB, 8GB, 5G, RAM.

R$ 1.160,72

Confira os detalhes antes de comprar. Link de afiliado preservado no catálogo.

#Impacto360 #MercadoLivre #celulares #OfertasSelecionadas","Samsung Galaxy A16 5G 256GB 8GB RAM

Samsung Galaxy A16 5G 256GB 8GB RAM é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB, 8GB, 5G, RAM.

Preço: R$ 1.160,72

Acesse pelo link de afiliado da Impacto 360 Afiliado: COLOCAR_LINK_AFILIADO_AQUI","Samsung Galaxy A16 5G 256GB 8GB RAM - Samsung Galaxy A16 5G 256GB 8GB RAM é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB, 8GB, 5G, RAM.","Comprar no Mercado Livre","COLOCAR_LINK_AFILIADO_AQUI","public/produtos-impacto360/telefone-mercado-livre-006/imagem-01.webp","pendente"
"telefone-mercado-livre-007","Samsung Galaxy A26 5G 256GB 8GB RAM","Celulares","R$ 1.363,12","Oferta selecionada no IMPACTO 360 AFILIADO

Samsung Galaxy A26 5G 256GB 8GB RAM
R$ 1.363,12

Samsung Galaxy A26 5G 256GB 8GB RAM é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB, 8GB, 5G, RAM.

Comprar no Mercado Livre:
COLOCAR_LINK_AFILIADO_AQUI

Este conteúdo pode conter link de afiliado.","Samsung Galaxy A26 5G 256GB 8GB RAM

Samsung Galaxy A26 5G 256GB 8GB RAM é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB, 8GB, 5G, RAM.

R$ 1.363,12

Confira os detalhes antes de comprar. Link de afiliado preservado no catálogo.

#Impacto360 #MercadoLivre #celulares #OfertasSelecionadas","Samsung Galaxy A26 5G 256GB 8GB RAM

Samsung Galaxy A26 5G 256GB 8GB RAM é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB, 8GB, 5G, RAM.

Preço: R$ 1.363,12

Acesse pelo link de afiliado da Impacto 360 Afiliado: COLOCAR_LINK_AFILIADO_AQUI","Samsung Galaxy A26 5G 256GB 8GB RAM - Samsung Galaxy A26 5G 256GB 8GB RAM é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB, 8GB, 5G, RAM.","Comprar no Mercado Livre","COLOCAR_LINK_AFILIADO_AQUI","public/produtos-impacto360/telefone-mercado-livre-007/imagem-01.webp","pendente"
"telefone-mercado-livre-008","Motorola Moto G35 5G 256GB","Celulares","R$ 1.049,00","Oferta selecionada no IMPACTO 360 AFILIADO

Motorola Moto G35 5G 256GB
R$ 1.049,00

Motorola Moto G35 5G 256GB é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB, 5G.

Comprar no Mercado Livre:
COLOCAR_LINK_AFILIADO_AQUI

Este conteúdo pode conter link de afiliado.","Motorola Moto G35 5G 256GB

Motorola Moto G35 5G 256GB é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB, 5G.

R$ 1.049,00

Confira os detalhes antes de comprar. Link de afiliado preservado no catálogo.

#Impacto360 #MercadoLivre #celulares #OfertasSelecionadas","Motorola Moto G35 5G 256GB

Motorola Moto G35 5G 256GB é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB, 5G.

Preço: R$ 1.049,00

Acesse pelo link de afiliado da Impacto 360 Afiliado: COLOCAR_LINK_AFILIADO_AQUI","Motorola Moto G35 5G 256GB - Motorola Moto G35 5G 256GB é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB, 5G.","Comprar no Mercado Livre","COLOCAR_LINK_AFILIADO_AQUI","public/produtos-impacto360/telefone-mercado-livre-008/imagem-01.webp","pendente"
"telefone-mercado-livre-009","Xiaomi Redmi 14C 256GB","Celulares","R$ 898,00","Oferta selecionada no IMPACTO 360 AFILIADO

Xiaomi Redmi 14C 256GB
R$ 898,00

Xiaomi Redmi 14C 256GB é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB.

Comprar no Mercado Livre:
COLOCAR_LINK_AFILIADO_AQUI

Este conteúdo pode conter link de afiliado.","Xiaomi Redmi 14C 256GB

Xiaomi Redmi 14C 256GB é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB.

R$ 898,00

Confira os detalhes antes de comprar. Link de afiliado preservado no catálogo.

#Impacto360 #MercadoLivre #celulares #OfertasSelecionadas","Xiaomi Redmi 14C 256GB

Xiaomi Redmi 14C 256GB é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB.

Preço: R$ 898,00

Acesse pelo link de afiliado da Impacto 360 Afiliado: COLOCAR_LINK_AFILIADO_AQUI","Xiaomi Redmi 14C 256GB - Xiaomi Redmi 14C 256GB é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 256GB.","Comprar no Mercado Livre","COLOCAR_LINK_AFILIADO_AQUI","public/produtos-impacto360/telefone-mercado-livre-009/imagem-01.png","pendente"
"telefone-mercado-livre-010","Apple iPhone 14 128GB Estelar","Celulares","R$ 3.790,00","Oferta selecionada no IMPACTO 360 AFILIADO

Apple iPhone 14 128GB Estelar
R$ 3.790,00

Apple iPhone 14 128GB Estelar é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 128GB.

Comprar no Mercado Livre:
COLOCAR_LINK_AFILIADO_AQUI

Este conteúdo pode conter link de afiliado.","Apple iPhone 14 128GB Estelar

Apple iPhone 14 128GB Estelar é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 128GB.

R$ 3.790,00

Confira os detalhes antes de comprar. Link de afiliado preservado no catálogo.

#Impacto360 #MercadoLivre #celulares #OfertasSelecionadas","Apple iPhone 14 128GB Estelar

Apple iPhone 14 128GB Estelar é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 128GB.

Preço: R$ 3.790,00

Acesse pelo link de afiliado da Impacto 360 Afiliado: COLOCAR_LINK_AFILIADO_AQUI","Apple iPhone 14 128GB Estelar - Apple iPhone 14 128GB Estelar é uma opção para quem procura celulares com compra direcionada pelo Mercado Livre. Destaques identificados no título: 128GB.","Comprar no Mercado Livre","COLOCAR_LINK_AFILIADO_AQUI","public/produtos-impacto360/telefone-mercado-livre-010/imagem-01.webp","pendente"
